alpha_2,alpha_3,language_name_english,language_name_native,language_status,is_living_language,direction,generated_locales
sc,srd,Sardinian,,living,true,ltr,sc-IT
sr,srp,Serbian,,living,true,ltr,sr-RS
ss,ssw,Swati,,living,true,ltr,ss-ZA
su,sun,Sundanese,,living,true,ltr,su-ID
sw,swa,Swahili (macrolanguage),,living,true,ltr,sw-TZ
sv,swe,Swedish,Svenska,living,true,ltr,sv-SE
ty,tah,Tahitian,,living,true,ltr,ty-PF
ta,tam,Tamil,,living,true,ltr,ta-IN
tt,tat,Tatar,,living,true,ltr,tt-RU
te,tel,Telugu,,living,true,ltr,te-IN
tg,tgk,Tajik,,living,true,ltr,tg-TJ
tl,tgl,Tagalog,,living,true,ltr,tl-PH
th,tha,Thai,,living,true,ltr,th-TH
ti,tir,Tigrinya,,living,true,ltr,ti-ET
to,ton,Tonga (Tonga Islands),,living,true,ltr,to-TO
tn,tsn,Tswana,,living,true,ltr,tn-ZA
ts,tso,Tsonga,,living,true,ltr,ts-ZA
tk,tuk,Turkmen,,living,true,ltr,tk-TM
tr,tur,Turkish,Türkçe,living,true,ltr,tr-TR
tw,twi,Twi,,living,true,ltr,
ug,uig,Uighur,,living,true,ltr,ug-CN
uk,ukr,Ukrainian,,living,true,ltr,uk-UA
ur,urd,Urdu,,living,true,rtl,ur-PK
uz,uzb,Uzbek,,living,true,ltr,uz-UZ
ve,ven,Venda,,living,true,ltr,ve-ZA
vi,vie,Vietnamese,,living,true,ltr,vi-VN
vo,vol,Volapük,,living,true,ltr,vo-001
wa,wln,Walloon,,living,true,ltr,wa-BE
wo,wol,Wolof,,living,true,ltr,wo-SN
xh,xho,Xhosa,,living,true,ltr,xh-ZA
yi,yid,Yiddish,,living,true,rtl,yi-UA
yo,yor,Yoruba,,living,true,ltr,yo-NG
za,zha,Zhuang,,living,true,ltr,za-CN
zu,zul,Zulu,,living,true,ltr,zu-ZA
